continent,government_form
Asia,Islamic Emirate
Asia,Emirate Federation
Asia,Republic
Asia,Federal Republic
Asia,Republic
Asia,Monarchy (Emirate)
Asia,Monarchy (Sultanate)
Asia,Monarchy
Asia,People'sRepublic
Asia,Republic
Asia,Republic
Asia,Special Administrative Region of China
Asia,Republic
Asia,Federal Republic
Asia,Islamic Republic
Asia,Republic
Asia,Republic
Asia,Constitutional Monarchy
Asia,Constitutional Monarchy
Asia,Republic
Asia,Republic
Asia,Constitutional Monarchy
Asia,Republic
Asia,Constitutional Monarchy (Emirate)
Asia,Republic
Asia,Republic
Asia,Republic
Asia,Special Administrative Region of China
Asia,Republic
Asia,Republic
Asia,Republic
Asia,"Constitutional Monarchy, Federation"
Asia,Constitutional Monarchy
Asia,Monarchy (Sultanate)
Asia,Republic
Asia,Republic
Asia,Socialistic Republic
Asia,Autonomous Area
Asia,Monarchy
Asia,Monarchy
Asia,Republic
Asia,Republic
Asia,Constitutional Monarchy
Asia,Republic
Asia,Republic
Asia,Administrated by the uN
Asia,Republic
Asia,Republic
Asia,Republic
Asia,Socialistic Republic
Asia,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Occupied by Marocco
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Dependent Territory of the uK
Africa,Republic
Africa,Republic
Africa,Socialistic State
Africa,Constitutional Monarchy
Africa,Constitutional Monarchy
Africa,Federal Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Territorial Collectivity of France
Africa,Republic
Africa,Republic
Africa,Federal Republic
Africa,Overseas Department of France
Africa,Republic
Africa,Islamic Republic
Africa,Republic
Africa,Dependent Territory of the uK
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Monarchy
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
Africa,Republic
